johnhwardjr	35.0	4.9	20	MySQL	0.15	PHP	0.14	Software Architecture	0.13	Software Testing	0.1	ASP	0.07	Other Skills	0.41
patzzVJSOFT	15.0	5.0	27	PHP	0.29	Wordpress	0.18	HTML	0.09	MySQL	0.09	CSS	0.07	Other Skills	0.28
Yamnuska	15.0	4.9	33	InDesign	0.21	Graphic Design	0.21	Photoshop	0.11	Brochure Design	0.11	Format &amp; Layout	0.08	Other Skills	0.29
webworldsolz	25.0	4.9	105	Anything Goes	0.21	Website Design	0.15	Graphic Design	0.11	PHP	0.1	HTML	0.09	Other Skills	0.34
mmagr99	30.0	5.0	50	PHP	0.21	HTML	0.16	Website Design	0.12	CSS	0.09	Graphic Design	0.08	Other Skills	0.34
SstatsC	75.0	5.0	50	Statistics	0.3	Mathematics	0.11	Education &amp; Tutoring	0.1	Analytics	0.08	Excel	0.08	Other Skills	0.33
sudhakarsp	10.0	4.9	105	PHP	0.36	Zen Cart	0.15	HTML	0.14	OSCommerce	0.09	Shopping Carts	0.04	Other Skills	0.21
WorkXpressPaaS	50.0	5.0	1	PHP	0.5	Software Architecture	0.5
ploosesl	30.0	4.0	82	Mobile Phone	0.35	iPhone	0.27	Android	0.12	iPad	0.08	Graphic Design	0.08	Other Skills	0.1
Gema75	10.0	4.9	158	Wordpress	0.39	PHP	0.2	Website Design	0.16	CSS	0.12	Blog	0.03	Other Skills	0.1
matau88	25.0	5.0	160	Graphic Design	0.29	Photoshop	0.13	Illustrator	0.1	Brochure Design	0.07	Flyer Design	0.06	Other Skills	0.36
